id        first_name          last_name           zip_code  
0         Louis               Thompson            1085      
1         George              Bryant              4192      
2         Chris               Anderson            4452      
3         Brian               Bell                1502      
4         Albert              Brown               4478      
5         Jerry               Johnson             4555      
6         Albert              Hayes               1846      
7         Douglas             Perry               3219      
8         Frank               Rodriguez           2137      
9         Brian               Simmons             3942      
10        Carlos              Doe                 4659      
11        Steven              Robinson            4405      
12        Samuel              Price               3057      
13        Billy               Ross                2675      
14        Charles             Collins             3058      
15        Benjamin            Alexander           2718      
16        Manuel              Jenkins             2639      
17        Edward              Morgan              4098      
18        Norman              King                3865      
19        Ernest              Collins             1513      
20        Antonio             Wilson              2642      
21        Clarence            Johnson             3022      
22        Samuel              Howard              3272      
23        Manuel              Richardson          2766      
24        Kevin               Patterson           4039      
25        James               Watson              4946      
26        Jose                Wood                4830      
27        Eric                Doe                 2574      
28        Phillip             Young               4208      
29        Billy               Ross                3375      
30        Lawrence            Hall                4186      
31        Ralph               Davis               2287      
32        Philip              King                3185      
33        Gregory             Reed                2188      
34        Richard             Carter              2912      
35        Johnny              Gray                2398      
36        Daniel              Lopez               4572      
37        Manuel              Barnes              4660      
38        Stephen             Alexander           3702      
39        Arthur              Young               1298      
40        Danny               James               1196      
41        Harry               Thompson            3753      
42        Justin              Patterson           3260      
43        Matthew             Nelson              1018      
44        Alan                Griffin             3717      
45        Mark                Anderson            1850      
46        Terry               Bailey              4169      
47        Thomas              Anderson            3349      
48        Frank               Bryant              4967      
49        Charles             Collins             2319      
50        George              Jackson             2121      
51        Jerry               Morris              3183      
52        Jeffrey             Young               2134      
53        Howard              Russell             1560      
54        Eric                Hall                3618      
55        Jeffrey             Rodriguez           1395      
56        Luis                Price               4030      
57        Frank               Davis               1486      
58        Earl                Sanders             2305      
59        Henry               Taylor              2464      
60        Victor              Adams               3588      
61        Fred                Bennett             1834      
62        Jimmy               Nelson              1350      
63        Richard             Bailey              4817      
64        Frank               Jenkins             1851      
65        Curtis              Phillips            4921      
66        Randy               Torres              2796      
67        Frank               Edwards             4603      
68        Randy               Torres              2714      
69        Jeffrey             Cox                 1218      
70        Craig               Allen               3479      
71        John                Washington          3775      
72        Gary                Peterson            1429      
73        Earl                Hughes              4578      
74        Scott               James               1230      
75        Benjamin            Roberts             1955      
76        Jack                Foster              4149      
77        David               Lopez               4905      
78        Larry               Robinson            2629      
79        Mike                Watson              4361      
80        Justin              Johnson             1219      
81        Brandon             Price               3660      
82        Joseph              Carter              3693      
83        Jeremy              Lopez               4882      
84        Willie              Mitchell            3789      
85        Jack                Hill                2730      
86        Jesse               Washington          4188      
87        Dale                Rodriguez           2662      
88        Henry               Barnes              4071      
89        Russell             Davis               1281      
90        Harry               Perry               3425      
91        Gregory             Davis               3666      
92        Anthony             Rodriguez           3003      
93        Jose                King                4179      
94        Brandon             Carter              4012      
95        Joseph              Ward                4809      
96        Larry               Morris              4964      
97        Russell             Cooper              3404      
98        Gregory             Ross                4767      
99        Norman              Walker              3978      
100       Timothy             Roberts             2646      
101       Johnny              Perry               3351      
102       Nicholas            Coleman             4269      
103       Lawrence            Phillips            3506      
104       William             Ward                4596      
105       Mike                Hall                1256      
106       Fred                Green               2358      
107       Harry               Jenkins             1803      
108       Bobby               Butler              1400      
109       Shawn               Moore               4160      
110       Larry               Cooper              3074      
111       Clarence            Taylor              2987      
112       Christopher         White               4971      
113       Roger               Bryant              1788      
114       Justin              Allen               2460      
115       Albert              Nelson              3821      
116       Douglas             White               2939      
117       Andrew              Wright              3179      
118       Jose                Clark               3816      
119       George              Morgan              2879      
120       Martin              Johnson             3081      
121       Leonard             Stewart             2789      
122       Jonathan            Jackson             1932      
123       Benjamin            Roberts             3079      
124       Frank               Long                4718      
125       Douglas             Wood                1093      
126       Allen               Hayes               3172      
127       Sean                Gonzales            4941      
128       Mike                Bryant              4671      
129       Charles             Cook                2576      
130       Curtis              Moore               3243      
131       Timothy             Gonzalez            1007      
132       William             Gonzalez            3174      
133       Frank               Hughes              4197      
134       Luis                Morgan              1788      
135       Ronald              Long                1198      
136       James               Alexander           4900      
137       Louis               Kelly               1777      
138       Bruce               Miller              2722      
139       Martin              Sanders             3522      
140       Timothy             Rodriguez           4750      
141       Eugene              Hall                2195      
142       Craig               Richardson          1870      
143       Juan                Allen               1134      
144       Clarence            Miller              3480      
145       Randy               Johnson             4237      
146       Benjamin            Peterson            3824      
147       Christopher         Phillips            3087      
148       Allen               Parker              2454      
149       Stanley             Gonzalez            4928      
150       Brandon             Gonzales            1070      
151       Jesse               Ross                3267      
152       Richard             Hughes              2488      
153       David               Gonzales            3471      
154       Andrew              Ward                2547      
155       Stanley             Doe                 3704      
156       Adam                Perez               4670      
157       Jeremy              Hughes              4216      
158       Edward              Thompson            4440      
159       Wayne               Diaz                4461      
160       Raymond             Kelly               1459      
161       Douglas             Richardson          1929      
